expiry_date;reference_id;control_timestamp;allee
2022-03-31;3033710092253;2021-10-16 14:48:40.038+00;R14 sucré bebe
2022-05-31;7613039333532;2021-10-16 14:40:45.731+00;R14 sucré bebe
2022-06-30;7613035014220;2021-10-16 14:41:46.191+00;R14 sucré bebe
2022-02-28;7613035485280;2021-10-16 14:43:10.229+00;R14 sucré bebe
2022-03-31;7613031928453;2021-10-16 14:43:55.754+00;R14 sucré bebe
2022-04-30;7613031927463;2021-10-16 14:46:20.362+00;R14 sucré bebe
2022-02-21;3041090503139;2021-09-27 11:14:51.17+00;R14 sucré bebe
2022-08-04;5900852045561;2021-09-28 09:53:08.931+00;R14 sucré bebe
2022-01-31;3033710023936;2021-10-16 14:50:35.496+00;R14 sucré bebe
2021-11-30;7613031552139;2021-10-16 14:52:55.344+00;R14 sucré bebe
2022-06-30;7613035008984;2021-10-16 14:53:36.422+00;R14 sucré bebe
2022-04-30;7613035014190;2021-10-16 14:54:17.905+00;R14 sucré bebe
2022-06-30;7613035009011;2021-10-16 14:54:57.345+00;R14 sucré bebe
2022-05-27;3041090503177;2021-10-19 11:36:02.954+00;R14 sucré bebe
2021-11-30;7613036987233;2021-04-13 09:24:41.398+00;R14 LAIT INFANTILE BIO
2021-11-19;3288131580067;2021-04-13 09:26:08.278+00;R14 LAIT INFANTILE BIO
2021-11-27;3560071286262;2021-06-01 06:47:36.555+00;R14 LAIT INFANTILE BIO
2021-12-25;3533631172008;2021-06-05 02:36:27.602+00;R14 LAIT INFANTILE BIO
1970-01-02;3560071286309;2021-06-18 05:56:29.992+00;R14 LAIT INFANTILE BIO
2021-12-25;3533630041138;2021-06-12 05:47:57.983+00;R14 LAIT INFANTILE BIO
2021-12-19;3533631177003;2021-09-07 12:08:25+00;R14 LAIT INFANTILE BIO
2022-01-18;3533631171001;2021-08-02 08:32:44.713+00;R14 LAIT INFANTILE BIO
2021-11-16;3560071286187;2021-10-13 12:03:08.249+00;R14 LAIT INFANTILE BIO
2021-11-21;3288114180024;2021-08-11 08:39:18.929+00;R14 LAIT INFANTILE BIO
2021-11-09;3572731102515;2021-10-25 06:50:31.153+00;R14 LAIT INFANTILE BIO
2022-02-04;3041091306845;2021-09-02 11:08:22.604+00;R14 LAIT INFANTILE BIO
2022-05-21;3288131580074;2021-10-11 06:27:36.759+00;R14 LAIT INFANTILE BIO
2022-02-01;3286010050151;2021-05-17 13:07:32.793+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-09-01;3286011000452;2021-05-17 13:08:08.339+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-03-01;3456300010916;2021-05-17 13:09:31.809+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-11-01;3160920711428;2021-05-17 13:11:47.177+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-01-01;3456300010947;2021-05-17 13:13:03.257+00;R14 BIO COMPLEMENT ALIMENTAIRE
2023-10-01;3286010016294;2021-05-17 13:14:27.232+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-01-01;3456300011043;2021-05-17 13:21:03.81+00;R14 BIO COMPLEMENT ALIMENTAIRE
2021-12-01;3456300011074;2021-05-17 13:22:54.521+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-12-01;3456300011432;2021-05-17 13:23:29.668+00;R14 BIO COMPLEMENT ALIMENTAIRE
2023-09-01;3456300011166;2021-05-17 13:24:17.152+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-03-01;3456300011333;2021-05-17 13:25:53.298+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-04-01;3456300011012;2021-05-17 13:27:16.228+00;R14 BIO COMPLEMENT ALIMENTAIRE
2023-12-01;3456300011357;2021-05-17 13:27:52.517+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-10-01;3456300011036;2021-05-17 13:28:41.563+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-09-01;3456300010787;2021-05-17 13:30:38.746+00;R14 BIO COMPLEMENT ALIMENTAIRE
2022-02-01;3456300011340;2021-05-17 13:29:07.909+00;R14 BIO COMPLEMENT ALIMENTAIRE
